TEMP_C, PRESSURE_PA, PING_TIME_US
"21.7",100525,5190
"21.7",100523,5174
"21.7",100520,5199
"21.7",100520,5174
"21.7",100525,5223
"21.7",100518,5147
"21.7",100523,5198
"21.7",100520,5216
"21.7",100520,5172
"21.7",100516,5198
"21.7",100518,5147
"21.7",100521,5172
"21.7",100517,5223
"21.7",100521,5147
"21.7",100520,5218
"21.7",100520,5126
"21.7",100521,5174
"21.7",100518,5198
"21.7",100517,5126
"21.7",100519,5174
"21.7",100521,5176
"21.7",100509,5199
"21.7",100523,5198
"21.7",100526,5199
"21.7",100522,5144
"21.7",100516,5151
"21.7",100522,5151
"21.7",100519,5144
"21.7",100518,5151
"21.7",100525,5174
"21.7",100523,5199
"21.7",100523,5251
"21.7",100519,5251
"21.7",100525,5251
"21.7",100522,5251
"21.7",100527,5174
"21.7",100523,5174
"21.7",100524,5174
"21.7",100518,5168
"21.7",100518,5223
"21.7",100520,5223
"21.7",100524,5224
"21.7",100520,5218
"21.7",100523,5199
"21.7",100522,5174
"21.7",100525,5199
"21.7",100520,5174
"21.7",100522,5198
"21.7",100525,5223
"21.7",100522,5168
"21.7",100522,5174
"21.7",100520,5174
"21.7",100525,5173
"21.7",100519,5223
"21.7",100519,5174
"21.7",100518,5151
"21.7",100519,5151
"21.7",100521,5149
"21.7",100519,5224
"21.7",100523,5218
"21.7",100521,5223
"21.7",100519,5199
"21.7",100520,5174
"21.7",100520,5173
"21.7",100520,5199
"21.7",100517,5198
"21.7",100519,5147
"21.7",100522,5224
"21.7",100517,5223
"21.7",100520,5174
"21.7",100516,5149
"21.7",100516,5198
"21.7",100519,5174
"21.7",100517,5199
"21.7",100520,5151
"21.7",100519,5149
"21.7",100511,5147
"21.7",100514,5147
"21.7",100518,5172
"21.7",100517,5147
"21.7",100519,5248
"21.7",100519,5199
"21.7",100519,5148
"21.7",100516,5140
"21.7",100516,5172
"21.7",100508,5147
"21.7",100517,5147
"21.7",100516,5172
"21.7",100513,5148
"21.7",100510,5149
"21.7",100513,5174
"21.7",100515,5226
"21.7",100515,5226
"21.7",100519,5244
"21.7",100514,5174
"21.7",100511,5173
"21.7",100513,5251
"21.7",100516,5169
"21.7",100516,5151
"21.7",100513,5174
"21.7",100517,5151
"21.7",100516,5149
"21.7",100522,5151
"21.7",100517,5151
"21.7",100517,5151
"21.7",100520,5226
"21.7",100516,5226
"21.7",100517,5195
"0.0",100523,5398
"0.0",100526,5395
"0.0",100524,5443
"0.0",100518,5474
"0.0",100525,5329
"0.0",100528,5573
