TEMP_C, PRESSURE_PA, PING_TIME_US
21.90, 100525, 5190
21.90, 100523, 5174
21.90, 100520, 5199
21.90, 100520, 5174
21.90, 100525, 5223
21.90, 100518, 5147
21.90, 100523, 5198
21.90, 100520, 5216
21.90, 100520, 5172
21.90, 100516, 5198
21.90, 100518, 5147
21.90, 100521, 5172
21.90, 100517, 5223
21.90, 100521, 5147
21.90, 100520, 5218
21.90, 100520, 5126
21.90, 100521, 5174
21.90, 100518, 5198
21.90, 100517, 5126
21.90, 100519, 5174
21.90, 100521, 5176
21.90, 100509, 5199
21.90, 100523, 5198
21.90, 100526, 5199
21.90, 100522, 5144
21.90, 100516, 5151
21.90, 100522, 5151
21.90, 100519, 5144
21.90, 100518, 5151
21.90, 100525, 5174
21.90, 100523, 5199
21.90, 100523, 5251
21.90, 100519, 5251
21.90, 100525, 5251
21.90, 100522, 5251
21.90, 100527, 5174
21.80, 100523, 5174
21.80, 100524, 5174
21.90, 100518, 5168
21.80, 100518, 5223
21.80, 100520, 5223
21.80, 100524, 5224
21.80, 100520, 5218
21.80, 100523, 5199
21.80, 100522, 5174
21.80, 100525, 5199
21.80, 100520, 5174
21.80, 100522, 5198
21.80, 100525, 5223
21.80, 100522, 5168
21.80, 100522, 5174
21.80, 100520, 5174
21.80, 100525, 5173
21.80, 100519, 5223
21.80, 100519, 5174
21.80, 100518, 5151
21.80, 100519, 5151
21.80, 100521, 5149
21.80, 100519, 5224
21.80, 100523, 5218
21.80, 100521, 5223
21.80, 100519, 5199
21.80, 100520, 5174
21.80, 100520, 5173
21.80, 100520, 5199
21.80, 100517, 5198
21.80, 100519, 5147
21.80, 100522, 5224
21.80, 100517, 5223
21.80, 100520, 5174
21.80, 100516, 5149
21.80, 100516, 5198
21.80, 100519, 5174
21.80, 100517, 5199
21.80, 100520, 5151
21.70, 100519, 5149
21.70, 100511, 5147
21.70, 100514, 5147
21.70, 100518, 5172
21.80, 100517, 5147
21.70, 100519, 5248
21.80, 100519, 5199
21.70, 100519, 5148
21.70, 100516, 5140
21.70, 100516, 5172
21.70, 100508, 5147
21.70, 100517, 5147
21.70, 100516, 5172
21.70, 100513, 5148
21.70, 100510, 5149
21.70, 100513, 5174
21.70, 100515, 5226
21.70, 100515, 5226
21.70, 100519, 5244
21.70, 100514, 5174
21.70, 100511, 5173
21.70, 100513, 5251
21.70, 100516, 5169
21.70, 100516, 5151
21.70, 100513, 5174
21.70, 100517, 5151
21.70, 100516, 5149
21.70, 100522, 5151
21.70, 100517, 5151
21.70, 100517, 5151
21.70, 100520, 5226
21.70, 100516, 5226
21.70, 100517, 5195
21.70, 100524, 5201
21.70, 100523, 5226
21.70, 100522, 5201
21.70, 100519, 5202
21.70, 100519, 5226
21.70, 100524, 5251
21.70, 100517, 5151
21.70, 100516, 5199
21.70, 100520, 5174
21.70, 100512, 5174
21.70, 100515, 5194
21.70, 100524, 5177
21.60, 100512, 5153
21.60, 100515, 5152
