TEMP_C, PRESSURE_PA, PING_TIME_US
22.80, 99921, 5086
22.80, 99925, 5113
22.80, 99916, 5138
22.90, 99923, 5136
22.90, 99919, 5136
22.90, 99922, 5111
22.90, 99926, 5111
22.90, 99923, 5111
22.90, 99930, 5164
22.90, 99919, 5113
22.90, 99926, 5188
22.90, 99920, 5113
22.90, 99923, 5113
22.90, 99917, 5113
22.90, 99917, 5113
22.90, 99924, 5113
22.90, 99920, 5113
22.90, 99920, 5163
22.90, 99925, 5113
22.90, 99924, 5185
22.90, 99936, 5110
22.90, 99943, 5180
22.90, 99951, 5160
22.90, 99954, 5161
22.90, 99965, 5136
22.90, 99968, 5138
22.90, 99966, 5113
22.90, 99980, 5115
22.90, 99973, 5168
22.90, 99991, 5134
22.90, 100011, 5113
22.90, 100030, 5161
22.90, 100047, 5161
22.90, 100075, 5134
22.90, 100096, 5109
22.90, 100118, 5110
22.90, 100130, 5110
22.90, 100152, 5110
23.00, 100175, 5109
23.00, 100204, 5134
23.00, 100232, 5134
23.00, 100254, 5185
23.00, 100287, 5134
23.00, 100308, 5181
23.00, 100334, 5182
23.00, 100355, 5134
23.00, 100375, 5085
23.00, 100381, 5160
23.00, 100397, 5161
23.00, 100406, 5161
23.00, 100415, 5109
23.00, 100429, 5161
23.00, 100443, 5161
23.00, 100447, 5109
23.00, 100461, 5136
23.00, 100468, 5161
23.00, 100483, 5161
23.00, 100491, 5161
23.00, 100491, 5161
23.00, 100499, 5138
23.00, 100503, 5136
23.00, 100497, 5135
23.00, 100493, 5161
23.00, 100503, 5161
23.00, 100505, 5161
23.00, 100522, 5161
23.00, 100530, 5160
23.00, 100551, 5160
23.00, 100558, 5136
23.00, 100572, 5160
23.00, 100605, 5160
23.00, 100624, 5109
23.00, 100634, 5136
23.10, 100633, 5088
23.00, 100625, 5111
23.00, 100606, 5106
23.10, 100601, 5086
23.10, 100587, 5136
23.10, 100574, 5111
23.10, 100561, 5088
23.10, 100549, 5111
23.10, 100537, 5163
23.10, 100536, 5113
23.10, 100531, 5164
23.10, 100546, 5111
23.10, 100549, 5088
23.10, 100572, 5164
23.10, 100574, 5164
23.10, 100586, 5164
23.10, 100575, 5139
23.10, 100576, 5140
23.10, 100565, 5090
23.10, 100560, 5090
23.10, 100556, 5090
23.10, 100551, 5115
23.10, 100544, 5132
23.10, 100539, 5111
23.10, 100540, 5185
23.10, 100538, 5111
23.10, 100552, 5160
23.10, 100547, 5111
23.10, 100562, 5156
23.10, 100557, 5164
23.20, 100567, 5140
23.20, 100582, 5160
23.20, 100593, 5142
23.10, 100609, 5144
23.20, 100617, 5093
23.10, 100623, 5115
23.10, 100634, 5115
23.20, 100642, 5163
23.10, 100662, 5111
23.10, 100665, 5136
23.20, 100683, 5160
23.10, 100692, 5160
23.20, 100700, 5184
23.20, 100711, 5178
23.20, 100716, 5185
23.20, 100730, 5109
23.20, 100737, 5155
23.20, 100736, 5185
23.20, 100732, 5135
23.20, 100719, 5136
23.20, 100701, 5188
23.20, 100699, 5113
23.20, 100684, 5189
23.20, 100677, 5139
23.20, 100663, 5188
23.20, 100657, 5114
23.20, 100651, 5139
23.20, 100660, 5115
23.20, 100667, 5167
23.20, 100661, 5140
23.20, 100667, 5115
23.20, 100670, 5113
23.20, 100675, 5090
23.20, 100681, 5167
23.20, 100681, 5114
23.20, 100693, 5111
23.20, 100694, 5136
23.20, 100699, 5184
23.20, 100710, 5184
23.20, 100714, 5135
23.20, 100714, 5111
23.20, 100715, 5164
23.20, 100715, 5164
23.20, 100713, 5111
23.20, 100717, 5164
23.20, 100722, 5188
23.20, 100722, 5188
23.20, 100724, 5111
23.20, 100728, 5088
23.20, 100727, 5111
23.20, 100732, 5111
23.20, 100731, 5163
23.10, 100680, 5139
23.20, 100696, 5165
23.30, 100747, 5190
23.30, 100759, 5164
23.30, 100764, 5086
23.40, 100777, 5160
23.40, 100792, 5160
23.40, 100787, 5135
23.50, 100800, 5135
23.40, 100804, 5111
23.40, 100800, 5185
23.40, 100804, 5135
23.40, 100809, 5109
23.40, 100808, 5109
23.40, 100805, 5107
23.40, 100804, 5210
23.40, 100804, 5184
23.40, 100806, 5109
23.40, 100806, 5161
23.40, 100807, 5086
23.40, 100805, 5111
23.40, 100807, 5188
23.40, 100808, 5138
23.40, 100808, 5163
23.40, 100803, 5114
23.40, 100809, 5114
23.40, 100808, 5114
23.40, 100806, 5165
23.40, 100810, 5115
23.40, 100803, 5139
23.40, 100811, 5164
23.40, 100806, 5163
23.40, 100805, 5163
23.40, 100812, 5163
23.40, 100803, 5188
23.40, 100799, 5188
23.40, 100806, 5188
23.40, 100814, 5181
23.40, 100810, 5113
23.40, 100807, 5186
23.40, 100805, 5111
23.40, 100804, 5136
23.40, 100816, 5111
23.40, 100800, 5157
23.40, 100800, 5164
23.40, 100803, 5089
23.40, 100801, 5113
23.50, 100808, 5114
23.40, 100803, 5139
23.50, 100807, 5114
23.50, 100806, 5139
23.50, 100801, 5138
23.50, 100804, 5163
23.50, 100811, 5114
23.50, 100806, 5114
23.50, 100810, 5139
23.50, 100807, 5114
23.50, 100819, 5138
23.50, 100808, 5163
23.50, 100812, 5163
23.50, 100807, 5163
23.50, 100802, 5186
23.50, 100810, 5163
23.50, 100795, 5186
23.50, 100808, 5111
23.50, 100797, 5163
23.50, 100804, 5163
23.50, 100809, 5157
23.50, 100806, 5164
23.50, 100800, 5139
23.50, 100806, 5163
23.50, 100800, 5163
23.50, 100808, 5139
23.50, 100809, 5089
23.50, 100808, 5090
23.50, 100804, 5090
23.50, 100804, 5089
23.50, 100806, 5089
23.50, 100802, 5089
23.50, 100807, 5139
23.50, 100808, 5089
23.50, 100807, 5114
23.50, 100801, 5090
23.50, 100801, 5114
23.50, 100802, 5156
23.50, 100805, 5139
23.60, 100801, 5114
23.50, 100807, 5138
23.50, 100806, 5139
23.50, 100802, 5090
23.50, 100805, 5089
23.50, 100804, 5090
23.50, 100806, 5090
23.50, 100806, 5190
23.50, 100804, 5113
23.50, 100806, 5114
23.50, 100805, 5089
23.60, 100807, 5090
23.60, 100805, 5113
23.60, 100804, 5165
23.50, 100809, 5165
23.60, 100811, 5159
23.60, 100802, 5090
23.60, 100803, 5165
23.50, 100808, 5113
23.60, 100805, 5114
23.60, 100807, 5167
23.60, 100795, 5093
23.60, 100799, 5093
23.60, 100793, 5096
23.60, 100786, 5096
23.60, 100766, 5123
23.60, 100756, 5123
23.60, 100739, 5123
23.60, 100718, 5172
23.60, 100704, 5119
23.60, 100687, 5122
23.60, 100669, 5172
23.60, 100654, 5197
23.60, 100630, 5121
23.60, 100621, 5097
23.60, 100613, 5097
23.60, 100602, 5169
23.60, 100599, 5117
23.60, 100579, 5167
23.60, 100569, 5189
23.60, 100559, 5114
23.60, 100551, 5165
23.60, 100542, 5117
23.60, 100544, 5093
23.60, 100528, 5093
23.60, 100513, 5093
23.60, 100518, 5092
23.60, 100509, 5136
23.60, 100501, 5142
23.60, 100495, 5167
23.60, 100490, 5193
23.60, 100484, 5119
23.60, 100479, 5119
23.60, 100476, 5118
23.60, 100473, 5142
23.70, 100464, 5165
23.70, 100461, 5190
23.70, 100468, 5090
23.70, 100469, 5089
23.70, 100485, 5089
23.70, 100489, 5114
23.70, 100503, 5089
23.70, 100509, 5114
23.70, 100508, 5114
23.70, 100527, 5138
23.70, 100526, 5163
23.70, 100532, 5163
23.70, 100536, 5111
23.70, 100546, 5107
23.70, 100548, 5159
23.70, 100549, 5160
23.70, 100571, 5110
23.70, 100580, 5111
23.70, 100573, 5138
23.70, 100560, 5163
23.70, 100558, 5163
23.70, 100544, 5139
23.70, 100543, 5090
23.70, 100540, 5114
23.70, 100539, 5114
23.70, 100549, 5114
23.70, 100553, 5139
23.70, 100570, 5138
23.70, 100592, 5138
23.70, 100599, 5138
23.70, 100606, 5135
23.70, 100622, 5163
23.70, 100630, 5114
23.70, 100626, 5132
23.70, 100619, 5161
23.70, 100588, 5138
23.70, 100564, 5089
23.70, 100554, 5190
23.70, 100526, 5165
23.70, 100521, 5165
23.70, 100501, 5114
23.80, 100498, 5113
23.80, 100486, 5115
23.80, 100490, 5190
23.70, 100489, 5165
23.80, 100482, 5165
23.80, 100485, 5165
23.80, 100484, 5190
23.80, 100476, 5165
23.80, 100464, 5165
23.80, 100453, 5142
23.80, 100443, 5165
23.80, 100433, 5092
23.80, 100418, 5115
23.80, 100409, 5092
23.80, 100402, 5092
23.80, 100372, 5093
23.80, 100360, 5117
23.80, 100341, 5167
23.80, 100313, 5142
23.80, 100298, 5165
23.80, 100265, 5114
23.80, 100233, 5092
23.80, 100193, 5110
23.80, 100177, 5093
23.80, 100146, 5117
23.80, 100108, 5115
23.80, 100094, 5117
23.80, 100066, 5144
23.80, 100043, 5193
23.80, 100027, 5169
23.80, 100014, 5115
23.80, 100009, 5117
23.80, 100001, 5140
23.80, 100008, 5117
23.80, 100006, 5115
23.80, 100002, 5117
23.90, 100004, 5117
23.80, 100009, 5117
23.80, 100003, 5117
23.80, 100012, 5092
23.80, 100007, 5117
23.90, 100007, 5093
23.90, 100004, 5117
23.90, 100007, 5168
23.90, 100010, 5143
23.90, 100009, 5138
23.90, 100007, 5168
23.90, 100006, 5117
23.90, 100005, 5189
23.90, 100006, 5168
23.90, 100010, 5168
23.90, 100008, 5143
23.90, 100009, 5119
23.90, 100004, 5119
23.90, 100005, 5119
23.90, 100007, 5096
23.90, 100007, 5119
23.90, 100002, 5094
23.90, 100008, 5096
23.90, 100001, 5096
23.90, 100007, 5094
23.90, 100003, 5096
23.90, 100004, 5143
23.90, 100007, 5144
23.90, 100004, 5143
