TEMP_C, PRESSURE_PA, PING_TIME_US
22.8,99985,5086
22.8,99985,5113
22.8,99985,5138
22.9,99985,5136
22.9,99985,5136
22.9,99985,5111
22.9,99985,5111
22.9,99985,5111
22.9,99985,5164
22.9,99985,5113
22.9,99985,5188
22.9,99985,5113
22.9,99985,5113
22.9,99985,5113
22.9,99985,5113
22.9,99985,5113
22.9,99985,5113
22.9,99985,5163
22.9,99985,5113
22.9,99985,5185
22.9,99985,5110
22.9,99985,5180
22.9,99985,5160
22.9,99985,5161
22.9,99985,5136
22.9,99985,5138
22.9,99985,5113
22.9,99985,5115
22.9,99985,5168
22.9,99985,5134
22.9,99985,5113
23.5,100805,5135
23.4,100805,5111
23.4,100805,5185
23.4,100805,5135
23.4,100805,5109
23.4,100805,5109
23.4,100805,5107
23.4,100805,5210
23.4,100805,5184
23.4,100805,5109
23.4,100805,5161
23.4,100805,5086
23.4,100805,5111
23.4,100805,5188
23.4,100805,5138
23.4,100805,5163
23.4,100805,5114
23.4,100805,5114
23.4,100805,5114
23.4,100805,5165
23.4,100805,5115
23.4,100805,5139
23.4,100805,5164
23.4,100805,5163
23.4,100805,5163
23.4,100805,5163
23.4,100805,5188
23.4,100805,5188
23.4,100805,5188
23.4,100805,5181
23.4,100805,5113
23.4,100805,5186
23.4,100805,5111
23.4,100805,5136
23.4,100805,5111
23.4,100805,5157
23.4,100805,5164
23.4,100805,5089
23.4,100805,5113
23.5,100805,5114
23.4,100805,5139
23.5,100805,5114
23.5,100805,5139
23.5,100805,5138
23.5,100805,5163
23.5,100805,5114
23.5,100805,5114
23.5,100805,5139
23.5,100805,5114
23.5,100805,5138
23.5,100805,5163
23.5,100805,5163
23.5,100805,5163
23.5,100805,5186
23.5,100805,5163
23.5,100805,5186
23.5,100805,5111
23.5,100805,5163
23.5,100805,5163
23.5,100805,5157
23.5,100805,5164
23.5,100805,5139
23.5,100805,5163
23.5,100805,5163
23.5,100805,5139
23.5,100805,5089
23.5,100805,5090
23.5,100805,5090
23.5,100805,5089
23.5,100805,5089
23.5,100805,5089
23.5,100805,5139
23.5,100805,5089
23.5,100805,5114
23.5,100805,5090
23.5,100805,5114
23.5,100805,5156
23.5,100805,5139
23.6,100805,5114
23.5,100805,5138
23.5,100805,5139
23.5,100805,5090
23.5,100805,5089
23.5,100805,5090
23.5,100805,5090
23.5,100805,5190
23.5,100805,5113
23.5,100805,5114
23.5,100805,5089
23.6,100805,5090
23.6,100805,5113
23.6,100805,5165
23.5,100805,5165
23.6,100805,5159
23.6,100805,5090
23.6,100805,5165
23.5,100805,5113
23.6,100805,5114
23.6,100805,5167
23.6,100805,5093
23.6,100805,5093
23.8,99985,5117
23.8,99985,5140
23.8,99985,5117
23.8,99985,5115
23.8,99985,5117
23.9,99985,5117
23.8,99985,5117
23.8,99985,5117
23.8,99985,5092
23.8,99985,5117
23.9,99985,5093
23.9,99985,5117
23.9,99985,5168
23.9,99985,5143
23.9,99985,5138
23.9,99985,5168
23.9,99985,5117
23.9,99985,5189
23.9,99985,5168
23.9,99985,5168
23.9,99985,5143
23.9,99985,5119
23.9,99985,5119
23.9,99985,5119
23.9,99985,5096
23.9,99985,5119
23.9,99985,5094
23.9,99985,5096
23.9,99985,5096
23.9,99985,5094
23.9,99985,5096
23.9,99985,5143
23.9,99985,5144
23.9,99985,5143
23.9,99985,5144
23.9,99985,5143
23.9,99985,5144
23.9,99985,5119
23.9,99985,5147
23.9,99985,5173
23.9,99985,5132
23.9,99985,5107
23.9,99985,5152
23.9,99985,5207
23.9,99985,5202
23.9,99985,5211
23.9,99985,5113
23.9,99985,5207
23.9,99985,5131
23.9,99985,5131
23.9,99985,5101
23.9,99985,5195
23.9,99985,5117
23.9,99985,5115
23.9,99985,5117
23.9,99985,5189
23.9,99985,5114
23.9,99985,5138
23.9,99985,5138
23.9,99985,5161
23.9,99985,5186
23.9,99985,5186
