TEMP_C,PRESSURE_PA,PING_TIME_US
22.30,99224,10204
22.30,99222,10235
22.30,99224,10234
22.30,99230,10259
22.30,99222,10235
22.30,99221,10288
22.30,99220,10259
22.30,99218,10339
22.30,99223,10288
22.30,99222,10340
22.30,99224,10235
22.30,99227,10263
22.30,99228,10235
22.30,99229,10263
22.30,99226,10314
22.30,99232,10418
22.30,99232,10210
22.30,99229,10262
22.30,99233,10291
22.30,99229,10289
22.30,99223,10287
22.30,99225,10234
22.30,99229,10310
22.30,99227,10336
22.30,99224,10260
22.30,99225,10288
22.30,99233,10288
22.30,99227,10260
22.30,99225,10260
22.30,99231,10234
22.30,99230,10262
22.30,99228,10256
22.30,99227,10291
22.30,99232,10212
22.30,99231,10255
22.30,99227,10289
22.30,99226,10212
22.30,99225,10238
22.30,99230,10235
22.30,99232,10263
22.30,99234,10367
22.30,99223,10238
22.30,99232,10291
22.30,99225,10263
22.30,99227,10365
22.30,99231,10263
22.30,99227,10234
22.30,99229,10210
22.30,99224,10210
22.30,99224,10212
22.30,99226,10314
22.30,99234,10264
22.30,99235,10315
22.30,99225,10263
22.30,99238,10359
22.30,99230,10263
22.30,99235,10235
22.30,99234,10210
22.30,99230,10288
22.30,99229,10263
22.30,99229,10235
22.30,99236,10235
22.30,99237,10262
22.30,99229,10208
22.30,99229,10263
22.30,99229,10212
22.30,99228,10263
22.30,99232,10462
22.30,99230,10235
22.30,99228,10367
22.30,99227,10235
22.30,99231,10255
22.30,99230,10390
22.30,99231,10262
22.30,99229,10288
22.30,99231,10334
22.30,99227,10235
22.30,99243,10365
22.30,99236,10235
22.30,99225,10235
22.30,99228,10262
22.30,99226,10210
22.30,99230,10262
22.30,99231,10210
22.30,99236,10263
22.30,99229,10235
22.30,99232,10235
22.30,99235,10234
22.30,99232,10288
22.30,99226,10339
22.30,99237,10338
22.30,99235,10260
22.30,99232,10363
22.30,99231,10208
22.30,99232,10234
22.30,99230,10256
22.30,99225,10288
22.30,99232,10262
22.30,99233,10235
22.30,99234,10263
22.30,99232,10262
22.30,99232,10313
22.30,99229,10313
22.20,99230,10389
22.20,99238,10208
22.20,99230,10235
22.20,99233,10339
22.20,99236,10262
22.20,99230,10263
22.20,99233,10237
22.20,99229,10289
22.30,99230,10238
22.20,99229,10238
22.20,99236,10238
22.20,99231,10238
22.20,99230,10238
22.20,99230,10367
22.20,99235,10238
22.20,99233,10318
22.20,99233,10213
22.20,99232,10266
22.20,99236,10266
22.20,99226,10292
22.20,99230,10292
22.20,99233,10292
22.20,99228,10235
22.20,99228,10214
22.20,99234,10242
22.20,99238,10259
22.20,99234,10444
22.20,99237,10266
22.20,99239,10291
22.20,99231,10212
22.20,99236,10238
22.20,99236,10238
22.20,99238,10284
22.20,99231,10264
22.20,99233,10237
22.20,99230,10212
22.20,99231,10263
22.20,99238,10263
22.20,99236,10417
22.20,99234,10229
22.20,99233,10313
22.20,99232,10338
22.20,99234,10262
22.20,99228,10235
22.20,99233,10365
22.20,99241,10263
22.20,99239,10204
22.20,99238,10289
22.20,99235,10212
22.20,99239,10291
22.20,99238,10238
22.20,99238,10291
22.20,99232,10266
22.20,99240,10318
22.20,99233,10241
22.20,99237,10242
22.20,99235,10287
22.20,99239,10214
22.20,99236,10214
22.20,99233,10363
22.20,99235,10266
22.20,99238,10419
22.20,99238,10214
22.20,99235,10214
22.20,99237,10267
22.20,99231,10266
22.20,99237,10364
22.20,99240,10239
22.20,99239,10238
22.20,99238,10266
22.10,99234,10293
22.20,99233,10239
22.20,99234,10293
22.20,99242,10287
22.20,99239,10241
22.20,99238,10266
22.20,99240,10293
22.20,99236,10293
22.20,99237,10319
22.20,99235,10216
22.20,99239,10213
22.20,99238,10239
22.20,99243,10213
22.20,99241,10266
22.20,99234,10368
22.10,99240,10369
22.10,99240,10293
22.20,99240,10238
22.20,99232,10213
22.20,99243,10317
22.20,99241,10238
22.20,99241,10239
22.10,99239,10213
22.10,99230,10266
22.20,99227,10317
22.20,99237,10266
22.20,99232,10238
22.10,99231,10266
22.10,99239,10266
22.20,99243,10213
22.10,99235,10343
22.10,99243,10293
22.10,99240,10213
22.10,99239,10285
22.10,99237,10213
22.20,99236,10238
22.20,99241,10312
22.10,99237,10369
22.10,99235,10317
22.10,99232,10239
22.10,99232,10238
22.10,99241,10266
22.10,99236,10238
22.10,99240,10212
22.10,99235,10266
22.10,99237,10368
22.10,99238,10368
22.10,99241,10259
22.20,99241,10238
22.10,99235,10214
22.10,99239,10258
22.10,99233,10212
22.10,99242,10238
22.10,99237,10231
22.20,99240,10292
22.10,99237,10317
22.10,99237,10293
22.10,99235,10317
22.10,99237,10266
22.10,99239,10266
22.10,99244,10292
22.10,99238,10344
22.10,99243,10268
22.10,99239,10293
22.10,99245,10287
22.10,99241,10213
22.10,99240,10214
22.10,99243,10363
22.10,99243,10422
22.10,99241,10420
22.10,99238,10317
22.10,99238,10262
22.10,99239,10310
22.10,99237,10266
22.10,99241,10266
22.10,99237,10266
22.10,99238,10266
22.10,99239,10445
22.10,99246,10266
22.10,99243,10238
22.10,99243,10238
22.10,99238,10241
22.10,99240,10213
22.10,99239,10368
22.10,99240,10317
22.10,99246,10239
22.10,99247,10238
22.10,99241,10368
22.10,99239,10210
22.10,99243,10264
22.10,99245,10266
22.10,99241,10266
22.10,99246,10238
22.10,99249,10317
22.10,99245,10420
22.10,99239,10317
22.10,99245,10238
22.10,99237,10291
22.10,99239,10266
22.10,99245,10264
22.10,99243,10212
22.10,99246,10264
22.10,99241,10238
22.10,99244,10213
22.10,99241,10239
22.10,99244,10368
22.10,99237,10289
22.10,99242,10289
22.10,99239,10293
22.10,99246,10214
22.10,99247,10266
22.10,99248,10317
22.10,99245,10266
22.10,99240,10313
22.10,99245,10266
22.10,99245,10214
22.10,99245,10214
22.10,99246,10266
22.10,99242,10292
22.10,99244,10317
22.10,99245,10259
22.10,99234,10263
22.10,99243,10263
22.10,99243,10289
22.10,99244,10315
22.10,99240,10263
