TEMP_C, PRESSURE_PA, PING_TIME_US
21.90, 100525, 5190
21.90, 100523, 5174
21.90, 100520, 5199
21.90, 100520, 5174
21.90, 100525, 5223
21.90, 100518, 5147
21.90, 100523, 5198
21.90, 100520, 5216
21.90, 100520, 5172
21.90, 100516, 5198
21.90, 100518, 5147
21.90, 100521, 5172
21.90, 100517, 5223
21.90, 100521, 5147
21.90, 100520, 5218
21.90, 100520, 5126
21.90, 100521, 5174
21.90, 100518, 5198
21.90, 100517, 5126
21.90, 100519, 5174
21.90, 100521, 5176
21.90, 100509, 5199
21.90, 100523, 5198
21.90, 100526, 5199
21.90, 100522, 5144
21.90, 100516, 5151
21.90, 100522, 5151
21.90, 100519, 5144
21.90, 100518, 5151
21.90, 100525, 5174
21.90, 100523, 5199
21.90, 100523, 5251
21.90, 100519, 5251
21.90, 100525, 5251
21.90, 100522, 5251
21.90, 100527, 5174
21.80, 100523, 5174
21.80, 100524, 5174
21.90, 100518, 5168
21.80, 100518, 5223
21.80, 100520, 5223
21.80, 100524, 5224
21.80, 100520, 5218
21.80, 100523, 5199
21.80, 100522, 5174
21.80, 100525, 5199
21.80, 100520, 5174
21.80, 100522, 5198
21.80, 100525, 5223
21.80, 100522, 5168
21.80, 100522, 5174
21.80, 100520, 5174
21.80, 100525, 5173
21.80, 100519, 5223
21.80, 100519, 5174
21.80, 100518, 5151
21.80, 100519, 5151
21.80, 100521, 5149
21.80, 100519, 5224
21.80, 100523, 5218
21.80, 100521, 5223
21.80, 100519, 5199
21.80, 100520, 5174
21.80, 100520, 5173
21.80, 100520, 5199
21.80, 100517, 5198
21.80, 100519, 5147
21.80, 100522, 5224
21.80, 100517, 5223
21.80, 100520, 5174
21.80, 100516, 5149
21.80, 100516, 5198
21.80, 100519, 5174
21.80, 100517, 5199
21.80, 100520, 5151
21.70, 100519, 5149
21.70, 100511, 5147
21.70, 100514, 5147
21.70, 100518, 5172
21.80, 100517, 5147
21.70, 100519, 5248
21.80, 100519, 5199
21.70, 100519, 5148
21.70, 100516, 5140
21.70, 100516, 5172
21.70, 100508, 5147
21.70, 100517, 5147
21.70, 100516, 5172
21.70, 100513, 5148
21.70, 100510, 5149
21.70, 100513, 5174
21.70, 100515, 5226
21.70, 100515, 5226
21.70, 100519, 5244
21.70, 100514, 5174
21.70, 100511, 5173
21.70, 100513, 5251
21.70, 100516, 5169
21.70, 100516, 5151
21.70, 100513, 5174
21.70, 100517, 5151
21.70, 100516, 5149
21.70, 100522, 5151
21.70, 100517, 5151
21.70, 100517, 5151
21.70, 100520, 5226
21.70, 100516, 5226
21.70, 100517, 5195
21.70, 100524, 5201
21.70, 100523, 5226
21.70, 100522, 5201
21.70, 100519, 5202
21.70, 100519, 5226
21.70, 100524, 5251
21.70, 100517, 5151
21.70, 100516, 5199
21.70, 100520, 5174
21.70, 100512, 5174
21.70, 100515, 5194
21.70, 100524, 5177
21.60, 100512, 5153
21.60, 100515, 5152
21.60, 100512, 5205
21.60, 100519, 5153
21.60, 100514, 5177
21.60, 100519, 5186
21.10, 100509, 5256
20.80, 100512, 5345
20.60, 100514, 5669
20.50, 100516, 5583
20.30, 100515, 5451
20.20, 100510, 5479
20.20, 100516, 5573
19.90, 100505, 5241
19.80, 100510, 5421
19.70, 100507, 5399
19.50, 100515, 5428
19.40, 100507, 5303
19.30, 100516, 5377
19.20, 100513, 5352
19.10, 100514, 5349
19.00, 100513, 5447
18.90, 100511, 5421
18.80, 100523, 5422
18.70, 100515, 5474
18.70, 100515, 5356
18.60, 100512, 5379
18.50, 100517, 5404
18.40, 100518, 5428
18.30, 100515, 5356
18.30, 100519, 5429
18.20, 100516, 5403
18.10, 100511, 5483
18.00, 100516, 5356
17.90, 100515, 5422
17.90, 100506, 5349
17.80, 100512, 5401
17.80, 100522, 5400
17.80, 100524, 5432
17.70, 100514, 5459
17.70, 100515, 5408
17.60, 100511, 5335
17.50, 100517, 5311
17.50, 100513, 5286
17.40, 100520, 5405
16.80, 100515, 5652
16.80, 100524, 6658
16.70, 100523, 5391
16.70, 100518, 5336
16.60, 100520, 5419
16.50, 100514, 5349
16.30, 100519, 5425
16.20, 100517, 5475
16.10, 100510, 5374
16.00, 100525, 5374
16.00, 100518, 5377
15.90, 100514, 5405
15.80, 100526, 6322
15.70, 100517, 5350
15.70, 100521, 5327
15.60, 100520, 5357
15.50, 100521, 5424
15.40, 100524, 5287
15.40, 100521, 5396
15.30, 100522, 5378
15.20, 100517, 6470
15.20, 100524, 5430
15.10, 100522, 5430
15.10, 100521, 6024
15.10, 100523, 5421
15.10, 100522, 5352
15.00, 100527, 5421
14.90, 100512, 5398
14.90, 100520, 5346
14.70, 100522, 5365
14.70, 100520, 5319
14.60, 100523, 5321
14.60, 100527, 5375
14.50, 100523, 5377
14.40, 100523, 5398
14.30, 100526, 5395
14.30, 100524, 5443
14.20, 100518, 5474
14.20, 100525, 5329
14.20, 100528, 5573
14.10, 100526, 5329
14.10, 100521, 5298
14.00, 100521, 5401
14.00, 100521, 5374
13.90, 100524, 5373
13.90, 100524, 5518
13.80, 100526, 5329
13.80, 100523, 5350
13.70, 100532, 5394
13.60, 100524, 5479
13.60, 100524, 6322
13.50, 100521, 5327
13.50, 100523, 5458
13.50, 100530, 5354
13.40, 100522, 5400
13.30, 100531, 5348
13.30, 100529, 5324
13.30, 100528, 5352
13.20, 100522, 5375
13.20, 100533, 5379
13.10, 100525, 5652
13.10, 100530, 5425
13.10, 100527, 5354
13.10, 100525, 5379
13.10, 100527, 5400
13.10, 100526, 5356
13.00, 100522, 5298
12.90, 100525, 5392
12.90, 100521, 5331
12.90, 100523, 5377
12.90, 100519, 5453
12.90, 100530, 5379
12.80, 100530, 5279
12.80, 100530, 5356
12.80, 100528, 5356
12.80, 100525, 5392
12.80, 100527, 5294
12.80, 100528, 5378
12.80, 100520, 5539
12.80, 100523, 5420
12.80, 100519, 5568
12.80, 100528, 6168
12.70, 100524, 5350
12.60, 100528, 5378
12.60, 100526, 5302
12.50, 100532, 5341
12.50, 100523, 5302
12.50, 100526, 5354
12.50, 100526, 5329
12.40, 100527, 5353
12.40, 100526, 5375
12.30, 100520, 5302
12.30, 100526, 5472
12.20, 100531, 5445
12.10, 100528, 5417
12.10, 100533, 5272
12.10, 100524, 5306
12.00, 100527, 5348
12.00, 100523, 5417
12.00, 100526, 5392
11.90, 100527, 5375
11.90, 100532, 5327
11.90, 100531, 5428
11.90, 100524, 5425
11.90, 100528, 5352
11.80, 100530, 5404
11.80, 100528, 5405
11.80, 100528, 5425
11.90, 100528, 5348
11.90, 100525, 5378
11.90, 100525, 5403
11.90, 100533, 5383
11.90, 100521, 5484
11.80, 100529, 5358
11.80, 100529, 5358
11.80, 100531, 5333
11.70, 100524, 5358
11.80, 100530, 5411
11.70, 100526, 5483
11.70, 100529, 5310
11.70, 100527, 5328
11.70, 100526, 5335
11.60, 100527, 5333
11.60, 100527, 5358
11.60, 100524, 5335
11.60, 100528, 5383
11.60, 100530, 5335
11.60, 100527, 5329
11.60, 100526, 5380
11.60, 100525, 5387
11.50, 100526, 5310
11.50, 100529, 5436
11.50, 100522, 5359
11.50, 100528, 5383
11.40, 100519, 5311
11.40, 100521, 5303
11.50, 100525, 5404
11.50, 100523, 5335
11.40, 100523, 5387
11.40, 100527, 5412
11.40, 100525, 5405
11.30, 100523, 5362
11.20, 100530, 5411
11.20, 100528, 5311
11.20, 100533, 5338
11.20, 100528, 5306
11.10, 100521, 5333
11.10, 100524, 5311
11.10, 100521, 5412
11.00, 100527, 5388
11.00, 100523, 5387
11.00, 100524, 5384
10.90, 100518, 5281
10.90, 100519, 5327
10.90, 100523, 5382
10.80, 100532, 5327
10.80, 100529, 5405
10.80, 100524, 5310
10.80, 100528, 5331
10.70, 100528, 5310
10.70, 100524, 5349
10.60, 100528, 5386
10.60, 100529, 5303
10.50, 100531, 5379
10.50, 100525, 5388
10.50, 100520, 5336
10.50, 100519, 5359
10.50, 100519, 5333
10.40, 100526, 5433
10.40, 100524, 5388
10.40, 100519, 5437
10.30, 100526, 5403
10.30, 100527, 5328
10.30, 100525, 5336
10.30, 100520, 5461
10.20, 100519, 5337
10.20, 100523, 5315
10.20, 100530, 5287
10.10, 100527, 5315
10.10, 100530, 5331
10.10, 100524, 5329
10.00, 100526, 5312
10.00, 100526, 5388
10.00, 100521, 5312
10.00, 100530, 5388
10.00, 100516, 5312
10.00, 100530, 5450
10.00, 100523, 5306
9.90, 100528, 5289
9.90, 100527, 5411
9.90, 100520, 5386
9.80, 100522, 5388
9.80, 100523, 5365
9.80, 100519, 5383
9.70, 100519, 5359
9.70, 100528, 5312
9.70, 100526, 5390
9.70, 100533, 5340
9.60, 100529, 5312
9.60, 100524, 5332
9.50, 100528, 5290
9.50, 100534, 5365
9.50, 100533, 5314
9.50, 100528, 5363
9.40, 100529, 5408
9.40, 100533, 5380
9.40, 100532, 5366
9.40, 100523, 5316
9.40, 100528, 5362
9.30, 100534, 5365
9.30, 100525, 5390
9.30, 100529, 5335
9.30, 100524, 5316
9.30, 100521, 5365
9.20, 100520, 5338
9.20, 100518, 5384
9.20, 100525, 5308
9.20, 100524, 5332
9.20, 100525, 5293
9.10, 100521, 5293
9.10, 100532, 5366
9.10, 100530, 5332
9.10, 100526, 5359
9.00, 100527, 5366
9.00, 100529, 5316
9.00, 100528, 5314
8.90, 100521, 5332
8.90, 100534, 5401
8.90, 100528, 5407
8.90, 100539, 5384
8.90, 100526, 5482
8.90, 100530, 5302
8.90, 100521, 5375
8.90, 100528, 5317
8.90, 100525, 5296
8.90, 100527, 5345
8.90, 100524, 5302
8.80, 100541, 5421
8.80, 100529, 5451
8.80, 100525, 5396
8.80, 100523, 5320
8.80, 100531, 5363
8.80, 100528, 5396
8.80, 100530, 5348
8.80, 100531, 5342
8.70, 100530, 5324
8.80, 100529, 5446
8.80, 100530, 5367
8.70, 100530, 5349
8.70, 100534, 5354
8.70, 100528, 5302
8.70, 100528, 5306
8.60, 100529, 5348
8.60, 100525, 5333
8.60, 100532, 5400
8.60, 100529, 5407
8.60, 100525, 5306
8.60, 100525, 5349
8.60, 100529, 5327
8.50, 100523, 5331
8.50, 100524, 5303
8.50, 100529, 5328
8.50, 100529, 5407
8.50, 100523, 5295
8.50, 100529, 5366
8.50, 100527, 5400
8.40, 100529, 5352
8.40, 100529, 5300
8.40, 100532, 5352
8.40, 100531, 5340
8.40, 100527, 5377
8.30, 100533, 5306
8.30, 100528, 5379
8.30, 100529, 5345
8.30, 100528, 5388
8.20, 100527, 5377
8.20, 100533, 5377
8.20, 100526, 5432
8.20, 100538, 5300
8.20, 100529, 5379
